Iteration,%TrainingInstances,Classifier,Feature Selection,Balancing,Cost Sensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
1,40.32846715328467,RandomForest,none,none,none,0.525,0.35,0.7754681647940075,0.32021505376344084,0.42,21.0,19.0,248.0,39.0,409.0
1,40.32846715328467,IBk,none,none,none,0.3287671232876712,0.4,0.6093632958801498,0.1997063142437592,0.3609022556390977,24.0,49.0,218.0,36.0,409.0
1,40.32846715328467,NaiveBayes,none,none,none,0.2733333333333333,0.6833333333333333,0.7188826466916355,0.17394908229721737,0.3904761904761905,41.0,109.0,158.0,19.0,299.0
1,40.32846715328467,RandomForest,BestFirst(backward),none,none,0.44,0.36666666666666664,0.7051498127340824,0.27987987987987994,0.4,22.0,28.0,239.0,38.0,408.0
1,40.32846715328467,IBk,BestFirst(backward),none,none,0.2875,0.38333333333333336,0.5968476903870162,0.15041459369817584,0.32857142857142857,23.0,57.0,210.0,37.0,427.0
1,40.32846715328467,NaiveBayes,BestFirst(backward),none,none,0.5227272727272727,0.38333333333333336,0.7445068664169788,0.3398078529657477,0.44230769230769235,23.0,21.0,246.0,37.0,391.0
1,40.32846715328467,RandomForest,none,SMOTE,none,0.44285714285714284,0.5166666666666667,0.7749687890137328,0.3481090589270007,0.47692307692307695,31.0,39.0,228.0,29.0,329.0
1,40.32846715328467,IBk,none,SMOTE,none,0.32653061224489793,0.5333333333333333,0.6439450686641698,0.22973988873853562,0.40506329113924044,32.0,66.0,201.0,28.0,346.0
1,40.32846715328467,NaiveBayes,none,SMOTE,none,0.2537313432835821,0.85,0.737016229712859,0.15081581655152143,0.39080459770114945,51.0,150.0,117.0,9.0,240.0
1,40.32846715328467,RandomForest,none,none,SensitiveThreshold,0.4142857142857143,0.48333333333333334,0.7677902621722846,0.30976253298153034,0.4461538461538461,29.0,41.0,226.0,31.0,351.0
1,40.32846715328467,IBk,none,none,SensitiveThreshold,0.3287671232876712,0.4,0.6093632958801498,0.1997063142437592,0.3609022556390977,24.0,49.0,218.0,36.0,409.0
1,40.32846715328467,NaiveBayes,none,none,SensitiveThreshold,0.18495297805642633,0.9833333333333333,0.7188514357053682,0.003572554376379108,0.31134564643799467,59.0,260.0,7.0,1.0,270.0
1,40.32846715328467,RandomForest,BestFirst(backward),SMOTE,none,0.33695652173913043,0.5166666666666667,0.717103620474407,0.23882681564245814,0.40789473684210525,31.0,61.0,206.0,29.0,351.0
1,40.32846715328467,IBk,BestFirst(backward),SMOTE,none,0.2727272727272727,0.5,0.6093320848938827,0.1514508138711963,0.3529411764705882,30.0,80.0,187.0,30.0,380.0
1,40.32846715328467,NaiveBayes,BestFirst(backward),SMOTE,none,0.47368421052631576,0.45,0.7507178526841448,0.3443139501575481,0.46153846153846156,27.0,30.0,237.0,33.0,360.0
1,40.32846715328467,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.36904761904761907,0.5166666666666667,0.7030274656679151,0.2754539559014268,0.4305555555555556,31.0,53.0,214.0,29.0,343.0
1,40.32846715328467,IBk,BestFirst(backward),none,SensitiveThreshold,0.2875,0.38333333333333336,0.5968476903870162,0.15041459369817584,0.32857142857142857,23.0,57.0,210.0,37.0,427.0
