key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
AVRO-78,2009-07-15,2009-07-16,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-79,2009-07-18,2009-07-20,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-80,2009-07-20,2009-11-20,1.0.0,1.1.0,1.3.0,[1.0.0, 1.1.0, 1.2.0],0
AVRO-85,2009-07-28,2009-07-31,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-84,2009-07-28,2009-07-31,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-87,2009-07-31,2009-08-12,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-86,2009-07-31,2010-08-25,1.0.0,1.1.0,1.4.0,[1.0.0, 1.1.0, 1.1.0, 1.2.0, 1.3.0, 1.3.1, 1.3.2, 1.3.3],0
AVRO-88,2009-08-11,2009-08-18,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-95,2009-08-16,2009-08-18,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-97,2009-08-18,2009-08-18,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-101,2009-08-19,2009-09-25,1.0.0,1.1.0,1.2.0,[1.0.0, 1.1.0, 1.1.0],0
AVRO-104,2009-08-20,2009-08-25,1.0.0,1.1.0,1.1.0,[1.0.0, 1.1.0],0
AVRO-107,2009-08-27,2009-08-27,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-113,2009-09-08,2009-09-22,1.0.0,1.1.0,1.2.0,[1.0.0, 1.1.0],0
AVRO-114,2009-09-11,2009-09-11,1.0.0,1.1.0,1.1.0,[1.0.0],0
AVRO-117,2009-09-21,2009-09-23,1.1.0,1.2.0,1.2.0,[1.1.0],0
AVRO-119,2009-09-22,2009-09-23,1.1.0,1.2.0,1.2.0,[1.1.0],0
AVRO-118,2009-09-22,2009-09-24,1.1.0,1.2.0,1.2.0,[1.1.0],0
AVRO-122,2009-09-24,2009-09-24,1.1.0,1.2.0,1.2.0,[1.1.0],0
AVRO-125,2009-09-25,2009-09-25,1.1.0,1.2.0,1.2.0,[1.1.0],0
AVRO-124,2009-09-25,2009-09-25,1.1.0,1.2.0,1.2.0,[1.1.0],0
AVRO-123,2009-09-25,2009-09-25,1.1.0,1.2.0,1.2.0,[1.1.0],0
AVRO-130,2009-09-30,2010-01-07,1.1.0,1.2.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-132,2009-10-02,2009-10-08,1.0.0,1.2.0,1.2.0,[1.0.0, 1.1.0],0
AVRO-133,2009-10-05,2009-10-06,1.0.0,1.2.0,1.2.0,[1.0.0, 1.1.0],0
AVRO-134,2009-10-05,2009-10-07,1.0.0,1.2.0,1.2.0,[1.0.0, 1.1.0],0
AVRO-138,2009-10-07,2009-10-07,1.0.0,1.2.0,1.2.0,[1.0.0, 1.1.0],0
AVRO-137,2009-10-07,2009-10-09,1.0.0,1.2.0,1.2.0,[1.0.0, 1.1.0],0
AVRO-156,2009-10-20,2009-10-20,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-162,2009-10-20,2009-10-22,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-165,2009-10-21,2009-10-21,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-169,2009-10-23,2009-11-05,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-171,2009-10-24,2009-11-13,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-176,2009-10-29,2009-10-30,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-182,2009-11-05,2009-11-11,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-184,2009-11-06,2009-12-04,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-189,2009-11-10,2009-11-10,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-188,2009-11-10,2009-11-10,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-191,2009-11-11,2009-11-12,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-194,2009-11-12,2009-11-12,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-193,2009-11-12,2009-11-12,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-198,2009-11-15,2010-01-18,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-211,2009-11-18,2009-11-19,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-210,2009-11-18,2009-11-19,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-207,2009-11-18,2010-01-10,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-208,2009-11-18,2010-02-04,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-227,2009-11-20,2009-11-20,1.2.0,1.3.0,1.3.0,[1.2.0],0
AVRO-225,2009-11-20,2009-11-20,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-223,2009-11-20,2009-11-20,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-222,2009-11-20,2009-11-20,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-232,2009-11-21,2009-11-21,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-238,2009-11-24,2009-12-01,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-247,2009-12-01,2009-12-08,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-256,2009-12-14,2009-12-15,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-255,2009-12-14,2009-12-15,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-257,2009-12-15,2009-12-15,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-259,2009-12-18,2010-01-09,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-262,2009-12-22,2009-12-29,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-265,2009-12-23,2022-04-13,1.2.0,1.3.0,1.11.1,[1.2.0, 1.3.0, 1.3.1, 1.3.2, 1.3.3, 1.4.0, 1.4.1, 1.5.0, 1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1, 1.7.2, 1.7.3, 1.7.4, 1.7.5, 1.7.7, 1.8.0, 1.8.1, 1.8.2, 1.9.0, 1.9.1, 1.9.2, 1.10.0, 1.10.1, 1.10.2, 1.11.0],0
AVRO-276,2009-12-31,2009-12-31,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-280,2010-01-04,2010-01-07,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-281,2010-01-04,2010-01-10,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-282,2010-01-04,2010-01-12,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-309,2010-01-12,2010-01-12,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-308,2010-01-12,2010-01-14,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-313,2010-01-13,2010-01-15,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-318,2010-01-13,2010-02-16,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-329,2010-01-14,2010-01-14,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-335,2010-01-14,2010-01-15,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-337,2010-01-15,2010-01-16,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-347,2010-01-18,2010-01-18,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-352,2010-01-19,2010-01-19,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
AVRO-356,2010-01-20,2010-01-20,1.1.0,1.3.0,1.3.0,[1.1.0, 1.2.0],0
