name,firstCommit,#Commits
src/java/org/apache/avro/AvroRuntimeException.java,commit e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08 1239312533 -----sp,2
src/java/org/apache/avro/AvroTypeException.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,3
src/java/org/apache/avro/Protocol.java,commit 40f9f941d3f9821d6f47c07a905dc5bdf0496955 1245444364 -----sp,12
src/java/org/apache/avro/Schema.java,commit 40f9f941d3f9821d6f47c07a905dc5bdf0496955 1245444364 -----sp,15
src/java/org/apache/avro/SchemaParseException.java,commit e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08 1239312533 -----sp,2
src/java/org/apache/avro/file/DataFileReader.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,5
src/java/org/apache/avro/file/DataFileWriter.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,5
src/java/org/apache/avro/file/SeekableFileInput.java,commit e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08 1239312533 -----sp,2
src/java/org/apache/avro/file/SeekableInput.java,commit e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08 1239312533 -----sp,2
src/java/org/apache/avro/generic/GenericArray.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,3
src/java/org/apache/avro/generic/GenericData.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,9
src/java/org/apache/avro/generic/GenericDatumReader.java,commit fe6629997fd57d96748e83001e12a371c737f62b 1246467217 -----sp,14
src/java/org/apache/avro/generic/GenericDatumWriter.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,8
src/java/org/apache/avro/generic/GenericFixed.java,commit 70ffe34fe20ea9b6a85995b29b6d1a8c25a43a83 1243014498 -----sp,1
src/java/org/apache/avro/generic/GenericRecord.java,commit e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08 1239312533 -----sp,2
src/java/org/apache/avro/generic/GenericRequestor.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,5
src/java/org/apache/avro/generic/GenericResponder.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,4
src/java/org/apache/avro/io/BinaryDecoder.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,2
src/java/org/apache/avro/io/BinaryEncoder.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,2
src/java/org/apache/avro/io/BlockingBinaryEncoder.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,1
src/java/org/apache/avro/io/DatumReader.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,4
src/java/org/apache/avro/io/DatumWriter.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,4
src/java/org/apache/avro/io/Decoder.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,2
src/java/org/apache/avro/io/Encoder.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,2
src/java/org/apache/avro/io/ParsingTable.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,1
src/java/org/apache/avro/io/ResolvingDecoder.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,1
src/java/org/apache/avro/io/ResolvingTable.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,1
src/java/org/apache/avro/io/ValidatingDecoder.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,1
src/java/org/apache/avro/io/ValidatingEncoder.java,commit 345ff7eddf9c23302803157ae89b1301e47c80df 1245955996 -----sp,1
src/java/org/apache/avro/ipc/AvroRemoteException.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,3
src/java/org/apache/avro/ipc/ByteBufferInputStream.java,commit 8204eee49c1be262c2078dcb1404e8dc7be71bf3 1244226705 -----sp,5
src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,commit 8204eee49c1be262c2078dcb1404e8dc7be71bf3 1244226705 -----sp,3
src/java/org/apache/avro/ipc/Requestor.java,commit 8120af19115d00d57d1ce1d29ef7d51443f2589f 1246482133 -----sp,7
src/java/org/apache/avro/ipc/Responder.java,commit 5a34ebef52a77c087ffbc235424478b265ab2403 1246576620 -----sp,8
src/java/org/apache/avro/ipc/SocketServer.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,4
src/java/org/apache/avro/ipc/SocketTransceiver.java,commit 5e4733ecf7b1102772af70a2255924c3903653c0 1243969356 -----sp,3
src/java/org/apache/avro/ipc/Transceiver.java,commit 5e4733ecf7b1102772af70a2255924c3903653c0 1243969356 -----sp,3
src/java/org/apache/avro/reflect/FixedSize.java,commit 70ffe34fe20ea9b6a85995b29b6d1a8c25a43a83 1243014498 -----sp,1
src/java/org/apache/avro/reflect/ReflectData.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,8
src/java/org/apache/avro/reflect/ReflectDatumReader.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,7
src/java/org/apache/avro/reflect/ReflectDatumWriter.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,7
src/java/org/apache/avro/reflect/ReflectRequestor.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,4
src/java/org/apache/avro/reflect/ReflectResponder.java,commit 842690ea2a8203b7d3a313a53feb761ec9d68383 1245789526 -----sp,7
src/java/org/apache/avro/specific/ProtocolTask.java,commit 9b14a2a7da50853d869d0fa0f153c6dbcbd4a2de 1239747082 -----sp,3
src/java/org/apache/avro/specific/SchemaTask.java,commit 9b14a2a7da50853d869d0fa0f153c6dbcbd4a2de 1239747082 -----sp,3
src/java/org/apache/avro/specific/SpecificCompiler.java,commit 5e4733ecf7b1102772af70a2255924c3903653c0 1243969356 -----sp,11
src/java/org/apache/avro/specific/SpecificDatumReader.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,7
src/java/org/apache/avro/specific/SpecificDatumWriter.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,5
src/java/org/apache/avro/specific/SpecificExceptionBase.java,commit f806cb0b94a073c667debbcf54fc91d21ee85ccc 1243964430 -----sp,1
src/java/org/apache/avro/specific/SpecificFixed.java,commit 70ffe34fe20ea9b6a85995b29b6d1a8c25a43a83 1243014498 -----sp,1
src/java/org/apache/avro/specific/SpecificRecord.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,3
src/java/org/apache/avro/specific/SpecificRecordBase.java,commit f806cb0b94a073c667debbcf54fc91d21ee85ccc 1243964430 -----sp,1
src/java/org/apache/avro/specific/SpecificRequestor.java,commit 7947e7367bfcbd96851ef986d99ef170ee09c992 1239745336 -----sp,3
src/java/org/apache/avro/specific/SpecificResponder.java,commit 7fd4f2c44cf7de14271c1ed5a20e534f66e6ab79 1244498057 -----sp,3
src/java/org/apache/avro/util/Utf8.java,commit e8a0c370ddd6fb6bb70c0742ad7e864b819c2d08 1239312533 -----sp,2
src/java/org/apache/avro/io/BlockingValueWriter.java,commit 8204eee49c1be262c2078dcb1404e8dc7be71bf3 1244226705 -----sp,1
src/java/org/apache/avro/io/ValueReader.java,commit 8204eee49c1be262c2078dcb1404e8dc7be71bf3 1244226705 -----sp,4
src/java/org/apache/avro/io/ValueWriter.java,commit 8204eee49c1be262c2078dcb1404e8dc7be71bf3 1244226705 -----sp,3
src/java/org/apache/avro/ipc/ByteBufferValueReader.java,commit 8204eee49c1be262c2078dcb1404e8dc7be71bf3 1244226705 -----sp,3
src/java/org/apache/avro/ipc/ByteBufferValueWriter.java,commit 8204eee49c1be262c2078dcb1404e8dc7be71bf3 1244226705 -----sp,3
JsonSchema.java,commit af64465511bb744ab888859945792372374d988a 1239311605 -----sp,2
JsonSchemaWalker.java,commit df459c34d674a40ac6e1dfaef995d47f0f11cf19 1239311572 -----sp,2
src/java/org/apache/avro/AvroRuntimeException.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/AvroTypeException.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/Protocol.java,commit acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8 1251411894 -----sp,2
src/java/org/apache/avro/Schema.java,commit b43975aa1e773cd471f5771d7c7faac7a0f73a7c 1252012786 -----sp,4
src/java/org/apache/avro/SchemaParseException.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/file/DataFileReader.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/file/DataFileWriter.java,commit f736dfd4dd6089d9323cf7290ca7852c9dd045cd 1250625502 -----sp,2
src/java/org/apache/avro/file/SeekableFileInput.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/file/SeekableInput.java,commit 79d571847ca673a23733377fdfd9a489017c499c 1250095160 -----sp,2
src/java/org/apache/avro/generic/GenericArray.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,2
