name,firstCommit,#Commits
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,4
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,14
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,commit 304bf8fe61bd545072d09c7089d8b92fc3c2f1d3 1321520376 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,commit da088187d80bf0b935aad14c1a4aa73e4920378f 1322588796 -----sp,9
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,7
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,commit 4049d4c2b115f81008ef7a3920fd9153ced2f53c 1321611485 -----sp,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,commit 4049d4c2b115f81008ef7a3920fd9153ced2f53c 1321611485 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,commit 544f4b5c0480bb383134fe6e26c2fe0e0a6c8b11 1322607324 -----sp,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,commit 544f4b5c0480bb383134fe6e26c2fe0e0a6c8b11 1322607324 -----sp,9
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,commit 68bdab655445f80314a0d2531e60e3b2e4d8fa17 1319732778 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,8
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,commit 544f4b5c0480bb383134fe6e26c2fe0e0a6c8b11 1322607324 -----sp,12
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,commit 544f4b5c0480bb383134fe6e26c2fe0e0a6c8b11 1322607324 -----sp,7
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,9
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,commit 68bdab655445f80314a0d2531e60e3b2e4d8fa17 1319732778 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,commit 92e69b331797ea6a4eb4d46b668360e6c7bb9bd4 1322649546 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,commit 92e69b331797ea6a4eb4d46b668360e6c7bb9bd4 1322649546 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,commit 504867718d934b66dfa4df8edc55c9c888aa3d42 1322588758 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,commit 4049d4c2b115f81008ef7a3920fd9153ced2f53c 1321611485 -----sp,7
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,11
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,commit 4049d4c2b115f81008ef7a3920fd9153ced2f53c 1321611485 -----sp,8
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,commit 4049d4c2b115f81008ef7a3920fd9153ced2f53c 1321611485 -----sp,9
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,1
hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,1
hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,3
hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,3
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,3
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,5
hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,3
hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,1
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,commit ba9ebc213c14aa5d16a26f2e0601a39ac5888e10 1315244337 -----sp,2
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,commit 3969ff71a1865b5b8c32b60ac529999c6de71ab8 1321524992 -----sp,3
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,commit 924fb834de0ae926ea075385c47dd29f8dd804a3 1322517713 -----sp,6
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,3
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,1
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,5
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,5
hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,commit e14618559769b7f3fa68360a4571a84392e162e3 1321565929 -----sp,4
